id,shorthand,label,description
DUO:0000021,IRB,倫理審査承認必須,倫理審査委員会による承認を受けたことが分かる書面を提出する必要があります
DUO:0000006,HMB,健康/医療/生物医学研究,集団の起源や祖先研究を含まない健康/医療/生物医学研究での使用が許可されています
DUO:0000019,PUB,公開必須,当該データを利用して実施した研究の成果を広く科学コミュニティに共有する必要があります
DUO:0000026,US,ユーザの限定,承認されたユーザのみ利用に限定されています
DUO:0000020,COL,共同研究必須,当該データ提供者と共同研究することが必須です
DUO:0000005,GRU-CC,一般研究利用と診療,集団の起源や祖先研究を含む、生物学的研究や健康/医療/生物医学研究での使用が許可されています
DUO:0000018,NPU,営利目的利用禁止,非営利団体による非営利目的の、非商用利用のみに限定されています
DUO:0000012,RS,特定の研究に限定,特定の種類の研究での利用に限定されています
DUO:0000025,TS,利用期間の限定,特定の月数の間、使用が承認されています
DUO:0000004,NRES,制限なし,データの利用に何も制限はありません
DUO:0000011,POA,集団の起源や祖先研究,集団の起源や祖先研究への利用に限定されています
DUO:0000024,MOR,出版猶予,特定の日付まで研究結果を公表しないことに同意します
DUO:0000016,GSO,遺伝学研究限定,遺伝学研究のみの利用に限定されています（表現型のみの研究への利用は禁止）
DUO:0000029,RTN,DB/リソースへの還元,当該データを利用して実施した研究の成果（産出したデータ）をデータベースやリソースへ還す（登録する）必要があります
DUO:0000028,IS,機関の限定,許可された機関での利用に限定されています
DUO:0000022,GS,地域の限定,特定の地理的地域内での利用に限定されています
DUO:0000007,DS,疾患特異的研究,特定の疾患に関連する場合のみに使用が許可されています
DUO:0000042,GRU,一般研究利用,あらゆる研究への一般研究利用が許可されています
DUO:0000014,RU,研究利用限定,研究目的以外の利用は禁止されています（例：診療目的での利用は禁止）
DUO:0000027,PS,プロジェクトの限定,許可されたプロジェクト内での利用に限定されています
